year,latitude,longitude,notes,external
1585,53.1577047926537,-2.667955313296604,TODO,1330175
1597,53.191312221896,-2.8867228191968706,TODO,1375800
1601,53.12070812656435,-2.7685557940928,TODO,1230477
1664,53.18638558372502,-2.88953377052421,TODO,1376318
1691,53.33366969188379,-2.7394753793029225,TODO,1105640
1728,53.2620820688136,-2.1255742383950382,TODO,1206920
1733,53.28629458376312,-2.0257668833218268,TODO,1138927
1746,53.2922827126374,-2.9528827437141265,TODO,1130334
1770,53.28817837478813,-2.151465118056369,TODO,1221674
1775,53.3130806604761,-2.3225711126567985,TODO,1139526
1807,53.275983934015265,-2.768036612224138,TODO,1253459
1935,53.19165000623848,-2.8914709877746447,TODO,1376395